"TimeStamp (nanoseconds)";"ID car";"ID Route";"Speed";"Distance";"Fuel Consumption";"Fuel Type";"CO2 Emission";"Longitude (lon)";"Latitude (lat)"
"587361510049200";"Driver 1";"1";"8.8298";"25.181759999999993";"0.6669832298645999";"2";"2091.083811336222";"0.0";"0.0"
"587361510163500";"Driver 1";"1";"8.8298";"25.181759999999993";"0.6669832298645999";"2";"2091.083811336222";"0.0";"0.0"
"587361510182600";"Driver 1";"1";"6.95";"31.436759999999996";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510196800";"Driver 1";"1";"6.95";"37.691759999999995";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510392000";"Driver 1";"1";"6.95";"44.64176";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510417500";"Driver 1";"1";"6.95";"50.89676";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510431200";"Driver 1";"1";"6.95";"57.15176";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510442400";"Driver 1";"1";"6.95";"64.10176";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510452400";"Driver 1";"1";"6.95";"70.35675999999994";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510710300";"Driver 1";"1";"6.95";"76.61175999999988";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510740400";"Driver 1";"1";"6.95";"83.56175999999981";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510803300";"Driver 1";"1";"6.95";"89.81675999999975";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510819700";"Driver 1";"1";"6.95";"96.07175999999968";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510875100";"Driver 1";"1";"6.95";"103.02175999999962";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510897800";"Driver 1";"1";"6.95";"109.27675999999956";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510915100";"Driver 1";"1";"6.95";"115.5317599999995";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510930000";"Driver 1";"1";"6.95";"122.48175999999943";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
"587361510940600";"Driver 1";"1";"6.95";"128.73675999999938";"0.6705135375";"2";"2102.134347222222";"0.0";"0.0"
